ResponseId,showingauthor,genrepick,mx_slotnum,mx_title,textsrc_Mx,textsrc_Mx_byhuman,prevwatchedbin_Mx,rank5_Mx,rankNunseen_Mx,time_page_submit_mx,acc_lik_Mx,acc_text_Mx,inf_lik_Mx,inf_text_Mx,per_lik_Mx,per_text_Mx,int_lik_Mx,int_text_Mx,Mx_moreauthor
R_20UIlVy1cvOmECC,False,Titanic,S1,Anna and the King,A0,False,False,5,1.0,42.549,,,4,"The text was informative in that it provided comparisons to previous versions of the story, such as The King and I (1956 musical) and Anna and the King of Siam (1946 film). It also mentioned two less successful versions of the film, the 1999 animated version and the obscure low-budget version from Burbank Animation Studios.",5," The text was persuasive in that it encouraged viewers to watch the 1999 version of the movie, as it suggested it was the best adaptation yet. It also highlighted the beauty of the film's visuals and the strength of the story itself.
",3," The text was interesting to read due to its description of the different film adaptations, its comparison of the versions, and the assessment of the 1999 version. It also provided specific details about each adaptation that helped to bring the story to life for readers.",False
R_20UIlVy1cvOmECC,False,Titanic,S2,Legend No. 17,A0,False,False,3,0.3333333333333333,78.817,,,3, The text was factually accurate in that it referenced Steven Spielberg as the director of the movie and noted his tendency to be pigeonholed into stereotypical categories by some reviewers. It also mentioned Schindler's List as one of his other films.,3,"The text was informative in that it provided an overview of some of the criticisms Spielberg has faced from reviewers, and it made clear that he had taken on a difficult endeavor with Always. 
",3," The text was persuasive in that it defended Spielberg's decision to make ""Always,"" arguing that reviewers should take a ""fresh look"" at the film instead of judging him on past work with special effects. It attempted to encourage readers to actually watch the movie and come to their own conclusions.",False
R_20UIlVy1cvOmECC,False,Titanic,S3,Always,A0,False,False,2,0.0,65.541,,,3,The text was factually accurate in that it referenced Steven Spielberg as the director of the movie and noted his tendency to be pigeonholed into stereotypical categories by some reviewers. It also mentioned Schindler's List as one of his other films.,3,"The text was persuasive in that it defended Spielberg's decision to make ""Always,"" arguing that reviewers should take a ""fresh look"" at the film instead of judging him on past work with special effects. It attempted to encourage readers to actually watch the movie and come to their own conclusions.",3,The text was interesting to read due to its humorous tone and references to Spielberg's different film styles. It also provided a unique perspective on the controversy surrounding the director,False
R_20UIlVy1cvOmECC,False,Titanic,S4,Far and Away,A0,False,True,1,,169.534,4.0,"The text was informative in that it provided details about the movie's plot, the performances of Tom Cruise and Nicole Kidman, and the cinematography. It also gave a general impression of the movie as being charming, entertaining, and featuring a classic cinematic feel.",4,"The text was persuasive in that it encouraged readers to watch the movie by highlighting the beauty of the cinematography and the chemistry between Tom Cruise and Nicole Kidman. It also pointed out the potential for viewers to miss out on a ""sweeping epic"" and ""enjoyable movie"" if they chose not to watch.
",3,"The text was persuasive in that it encouraged readers to watch the movie by highlighting the beauty of the cinematography and the chemistry between Tom Cruise and Nicole Kidman. It also pointed out the potential for viewers to miss out on a ""sweeping epic"" and ""enjoyable movie"" if they chose not to watch.",3," The text was interesting to read due to its descriptive language, its references to Ireland and America, and its romantic and adventure-filled narrative. It also presented an emotional aspect to the story by mentioning the immigrants' search for a better life.",False
R_20UIlVy1cvOmECC,False,Titanic,S5,Love Story,A2,True,False,4,0.6666666666666666,56.301,,,4,"The text was informative in that it provided details about the movie's plot, the performances of Tom Cruise and Nicole Kidman, and the cinematography. It also gave a general impression of the movie as being charming, entertaining, and featuring a classic cinematic feel.",3,"The text was persuasive in that it encouraged readers to watch the movie by highlighting the beauty of the cinematography and the chemistry between Tom Cruise and Nicole Kidman. It also pointed out the potential for viewers to miss out on a ""sweeping epic"" and ""enjoyable movie"" if they chose not to watch.",3," The text was interesting to read due to its descriptive language, its references to Ireland and America, and its romantic and adventure-filled narrative. It also presented an emotional aspect to the story by mentioning the immigrants' search for a better life.
",False
R_1nOygUc6Qe1tu60,False,Titanic,S1,Anna and the King,A0,False,False,1,0.0,73.299,,,3,"The text was informative in that it provided comparisons to previous versions of the story, such as The King and I (1956 musical) and Anna and the King of Siam (1946 film). It also mentioned two less successful versions of the film, the 1999 animated version and the obscure low-budget version from Burbank Animation Studios.",4," The text was persuasive in that it encouraged viewers to watch the 1999 version of the movie, as it suggested it was the best adaptation yet. It also highlighted the beauty of the film's visuals and the strength of the story itself.",3,"The text was interesting to read due to its description of the different film adaptations, its comparison of the versions, and the assessment of the 1999 version. It also provided specific details about each adaptation that helped to bring the story to life for readers.

",False
R_1nOygUc6Qe1tu60,False,Titanic,S2,Legend No. 17,A0,False,False,2,0.25,54.848,,,3," The text was informative in that it provided details about the movie's plot, the performances by the actors, and its inspiring message of perseverance. It also highlighted the reviews of the movie, noting both the glowing reviews and any minor faults.
",3,"The text was persuasive in that it encouraged viewers to watch the movie, highlighting its inspiring message and praising the reviews of the film. It also attempted to downplay any minor criticisms by acknowledging them but stating that they should not detract from the overall enjoyment of watching the movie.",3,"The text was interesting to read due to its descriptive language, its focus on the important elements of the film's story such as perseverance, and its reference to sports and history. It also presented several perspectives on the movie, which would be of particular interest to those curious about the film.",False
R_1nOygUc6Qe1tu60,False,Titanic,S3,Always,A0,False,True,4,,116.643,4.0,"The text was factually accurate in that it referenced Steven Spielberg as the director of the movie and noted his tendency to be pigeonholed into stereotypical categories by some reviewers. It also mentioned Schindler's List as one of his other films.
",3,"The text was informative in that it provided an overview of some of the criticisms Spielberg has faced from reviewers, and it made clear that he had taken on a difficult endeavor with Always. ",4,"The text was persuasive in that it defended Spielberg's decision to make ""Always,"" arguing that reviewers should take a ""fresh look"" at the film instead of judging him on past work with special effects. It attempted to encourage readers to actually watch the movie and come to their own conclusions.",5,The text was interesting to read due to its humorous tone and references to Spielberg's different film styles. It also provided a unique perspective on the controversy surrounding the director,False
R_1nOygUc6Qe1tu60,False,Titanic,S4,Far and Away,A2,True,False,5,1.0,51.976,,,3,"The text was informative in that it provided details about the movie's plot, the performances of Tom Cruise and Nicole Kidman, and the cinematography. It also gave a general impression of the movie as being charming, entertaining, and featuring a classic cinematic feel.",4,"The text was informative in that it provided details about the movie's plot, the performances of Tom Cruise and Nicole Kidman, and the cinematography. It also gave a general impression of the movie as being charming, entertaining, and featuring a classic cinematic feel.",3,"The text was interesting to read due to its descriptive language, its references to Ireland and America, and its romantic and adventure-filled narrative. It also presented an emotional aspect to the story by mentioning the immigrants' search for a better life.",False
R_1nOygUc6Qe1tu60,False,Titanic,S5,Love Story,A0,False,False,3,0.5,64.898,,,3,"The text was factually accurate in that it noted the film's success and its characterization of a young couple in love. It also accurately described the depiction of the couple as being conventional and conservative in comparison to other films of the time.
",4, The text was persuasive in its description of the couple's relationship and the dream of true love. It attempted to capture the sentiment,3,"The text was interesting to read due to its romantic and heartfelt tone. It also provided unique analysis of the film's themes and characters, which would be of particular interest to those familiar with the movie.",False
R_1kTdcN8ApYyAlQR,False,Jurassic Park,S1,The Poseidon Adventure,A0,False,True,5,,102.872,4.0,The movie is somewhat accurate,4,The text is somewhat informative,4,The movie is somewhat persuasive,5,its very interesting,False
R_1kTdcN8ApYyAlQR,False,Jurassic Park,S2,The Towering Inferno,A0,False,False,1,0.0,168.725,,,4,The movie is somewhat informative,4,The text is somewhat persuasive,4,The movie is somewhat interesting to watch,False
R_1kTdcN8ApYyAlQR,False,Jurassic Park,S3,Jason and the Argonauts,A0,False,False,2,0.3333333333333333,142.445,,,4,The movie is somewhat informative,4,The text is somewhat persuasive,4,The movie is somewhat interesting to watch,False
R_1kTdcN8ApYyAlQR,False,Jurassic Park,S4,"20,000 Leagues Under the Sea",A3,True,False,4,1.0,97.301,,,4,The movie is somewhat informative,4,The movie is somewhat persuasive,4,The movie is somewhat interesting to watch,False
R_1kTdcN8ApYyAlQR,False,Jurassic Park,S5,The 7th Voyage of Sinbad,A1,True,False,3,0.6666666666666666,259.063,,,4,Yes is somewhat informative,2,Yes the text is unconvincing,4,The text is somewhat interesting,False
R_1LAv6K8zSBJ73P7,False,The Dark Knight,S1,Batman: Mask of the Phantasm,A0,False,True,1,,130.936,5.0,It is classic animated movie,5,It is a first animated batman movie,5,It is a first animated batman movie,5,This film is packed with twist and turns,False
R_1LAv6K8zSBJ73P7,False,The Dark Knight,S2,Streets of Fire,A0,False,False,4,0.6666666666666666,228.497,,,5,The cool underground vibe and stunning cinematography make it a must see for fans of walter hill's,5,It's a movie you can't miss,1,It's not too interesting and didn't deals about specific sequence,False
R_1LAv6K8zSBJ73P7,False,The Dark Knight,S3,Takers,A3,True,False,2,0.0,355.856,,,5,It deals with more narration of story and so it is informative,5,"Entirely routine. Takers is a repackaging of heat for the young, urban, male crowd",5,"Takers is a repackaging of heat, for the young, urban, male crowd seems interesting",False
R_1LAv6K8zSBJ73P7,False,The Dark Knight,S4,The Net,A0,False,False,3,0.3333333333333333,193.991,,,5,Net is a gripping thriller that explores the dangers of identity theft through the lens of technology,5,Bullock gives an admirable and multifaceted performance,5,Bullock gives an admirable performance seems interesting,False
R_1LAv6K8zSBJ73P7,False,The Dark Knight,S5,Miss Bala,A0,False,False,5,1.0,162.614,,,5,It's a movie with good message,1,It's not about more convincing on about movie,1,It's not very interesting about stories,False
R_1F2Lp0EjSEM9Aln,False,Inception,S1,When Nietzsche Wept,A0,False,False,3,0.6666666666666666,158.355,,,5,"It's a blend of history, philosophy, and comedy movie",1,some reviewers mention that disappointing melodramatic,1,It is a disappointing melodramatic and so it is uninteresting,False
R_1F2Lp0EjSEM9Aln,False,Inception,S2,The Old Man & the Gun,A0,False,False,2,0.3333333333333333,140.759,,,5,"The film tells the true story of Forrest Tucker, a man who escaped from prison and has spent his days robbing banks in the politest way possible",5,"It is a relaxing film, keep you engaged",5,The film tells the true story of Forrest Tucker,False
R_1F2Lp0EjSEM9Aln,False,Inception,S3,Reminiscence,A1,True,False,1,0.0,216.28,,,1,It is a little bit uninformative by provide check at each sentence,1,It is not fully covered about movie recommendation,1,It is not up to the level by not including any plot or character,False
R_1F2Lp0EjSEM9Aln,False,Inception,S4,Infinite,A0,False,True,5,,266.999,5.0,It is a worthy movie and tells it attracts action and sci-fi films,5,It is action and sci-fi film,5,It is solid entertainment with good combination of action and storytelling,5,It is a interesting concept of reincarnation and revolves around the idea that some people are born with the memories of their past lives,False
R_1F2Lp0EjSEM9Aln,False,Inception,S5,The Forgotten,A1,True,False,4,1.0,138.859,,,1,It is not much about the story and informative plots,1,It doesn't contain persuasive content,1,It doesn't shows interesting content about story,False
R_3no9yhpVBWmYof0,False,Jurassic Park,S1,The Poseidon Adventure,A0,False,False,4,0.75,112.922,,,5,The film follows a group of people onboard the luxury liner Poseidon during a New Year's Eve party when an undersea earthquake hits and the ship capsizes. ,5,The Poseidon Adventure promises to take you on a thrilling journey and leave you on the edge of your seat.,5,"As the group of survivors navigate their way through the labyrinthine maze of the capsized ship, they face numerous challenges and dangers that keep you engaged and rooting for them till the end.",True
R_3no9yhpVBWmYof0,False,Jurassic Park,S2,The Towering Inferno,A0,False,False,1,0.0,100.477,,,5," This movie is a true classic disaster film done the old-fashioned way, boasting a cast that reads like a who's who of Hollywood legends including Steve McQueen, Paul Newman, and Faye Dunaway. ",5,The Towering Inferno is a must-see movie for any disaster movie fan and a great example of how epic movies used to be made.,5,"The Towering Inferno (1974): ""ularly the scenes of the building engulfed in flames.",True
R_3no9yhpVBWmYof0,False,Jurassic Park,S3,Jason and the Argonauts,A4,True,False,5,1.0,95.287,,,5,Wonderful adventure about the legendary Greek hero who sails to Colchis to find the Golden Fleece. ,5,"This is one of the best sword and sandals film from the history , retelling the legend of Jason in search of the famous fleece for uncharted sea .",5,Hero Jason leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece which has amazing healing powers. ,True
R_3no9yhpVBWmYof0,False,Jurassic Park,S4,"20,000 Leagues Under the Sea",A4,True,False,3,0.5,62.5,,,5,"In 1868, shipping becomes a nightmare, since vessels are vanishing the in the South Seas.",5,"""Great and Funny Adventure",5,The tabloids attribute the disappearances of the ships to an existence of a sea monster.,True
R_3no9yhpVBWmYof0,False,Jurassic Park,S5,The 7th Voyage of Sinbad,A0,False,True,2,,196.348,5.0,The 7th Voyage of Sinbad (1958):,5,"This classic film boasts incredible special effects, including stop-motion animation by the legendary Ray Harryhausen, that will transport you to a world of mythical creatures and swashbuckling heroes",5,"If you're looking for an adventure of epic proportions, look no further than ""The 7th Voyage of Sinbad.",5,"Despite some deviations from the original story, the film is a thrilling quest full of magic, wizards, and monsters.",True
R_2dR5GtSm2X95LH1,False,Jurassic Park,S1,The Poseidon Adventure,A0,False,False,3,0.5,948.329,,,3,"New Year's Eve party when an undersea earthquake hits and the ship capsizes. As the group of survivors navigate their way through the labyrinthine maze of the capsized ship, they face numerous challenges and dangers that keep you engaged and rooting for them till the end.",2,"What sets this disaster film apart is the characters - from married couples to a minister and a hypochondriac, each...""",1," New Year's Eve party when an undersea earthquake hits and the ship capsizes. As the group of survivors navigate their way through the labyrinthine maze of the capsized ship, they face numerous challenges and dangers that keep you engaged and rooting for them till the end. ",False
R_2dR5GtSm2X95LH1,False,Jurassic Park,S2,The Towering Inferno,A0,False,True,2,,378.683,2.0,"The Towering Inferno (1974): ""ularly the scenes of the building engulfed in flames. This movie is a true classic disaster film done the old-fashioned way.",3,boasting a cast that reads like a who's who of Hollywood legends including Steve McQueen.,2,"Paul Newman, and Faye Dunaway. While some may find the first parts of the movie a bit slow, once the disaster hits, the thrills and drama are non-stop.",2,"The Towering Inferno is a must-see movie for any disaster movie fan and a great example of how epic movies used to be made.""
inaccurate",False
R_2dR5GtSm2X95LH1,False,Jurassic Park,S3,Jason and the Argonauts,A5,True,False,1,0.0,141.435,,,2," Harryhaussen made them without computers or digital effects... so, show some respect!! In short: the movie is just fantastic.""",2,The genius and pioneer of the special effects Ray Harryhaussen gave us a handful of superhuman creatures who make things quite difficult for the brave Jason. ,2," ""Fascinating... The fascinating odyssey of Jason in search of the Golden Fleece. This is an adventure movie in the old style, with no pretensions, no pomposity... ",True
