ResponseId,showingauthor,genrepick,m1_title,m2_title,m3_title,m4_title,m5_title,Duration (in seconds),time_workerid_Page Submit,time_genrepick_Page Submit,time_ranking_Page Submit,12_time_recctext_Page Submit,13_time_recctext_Page Submit,14_time_recctext_Page Submit,15_time_recctext_Page Submit,16_time_recctext_Page Submit,textsrc_M1,textsrc_M2,textsrc_M3,textsrc_M4,textsrc_M5,textsrc_M1_byhuman,textsrc_M2_byhuman,textsrc_M3_byhuman,textsrc_M4_byhuman,textsrc_M5_byhuman,prevwatchedbin_M1,prevwatchedbin_M2,prevwatchedbin_M3,prevwatchedbin_M4,prevwatchedbin_M5,rank5_M1,rank5_M2,rank5_M3,rank5_M4,rank5_M5,rankNunseen_M1,rankNunseen_M2,rankNunseen_M3,rankNunseen_M4,rankNunseen_M5,freetext_final
R_20UIlVy1cvOmECC,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,2657,15.905,9.447,28.725,42.549,78.817,65.541,169.534,56.301,A0,A0,A0,A0,A2,False,False,False,False,True,False,False,False,True,False,5,3,2,1,4,1.0,0.3333333333333333,0.0,,0.6666666666666666,NO
R_1nOygUc6Qe1tu60,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,469,15.197,3.001,34.892,73.299,54.848,116.643,51.976,64.898,A0,A0,A0,A2,A0,False,False,False,True,False,False,False,True,False,False,1,2,4,5,3,0.0,0.25,,1.0,0.5,NO
R_1kTdcN8ApYyAlQR,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,881,2.949,9.559,65.904,102.872,168.725,142.445,97.301,259.063,A0,A0,A0,A3,A1,False,False,False,True,True,True,False,False,False,False,5,1,2,4,3,,0.0,0.3333333333333333,1.0,0.6666666666666666,none
R_1LAv6K8zSBJ73P7,False,The Dark Knight,Batman: Mask of the Phantasm,Streets of Fire,Takers,The Net,Miss Bala,1380,7.616,6.024,173.795,130.936,228.497,355.856,193.991,162.614,A0,A0,A3,A0,A0,False,False,True,False,False,True,False,False,False,False,1,4,2,3,5,,0.6666666666666666,0.0,0.3333333333333333,1.0,no
R_1F2Lp0EjSEM9Aln,False,Inception,When Nietzsche Wept,The Old Man & the Gun,Reminiscence,Infinite,The Forgotten,2415,6.834,21.985,1369.351,158.355,140.759,216.28,266.999,138.859,A0,A0,A1,A0,A1,False,False,True,False,True,False,False,False,True,False,3,2,1,5,4,0.6666666666666666,0.3333333333333333,0.0,,1.0,nothing
R_3no9yhpVBWmYof0,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,1558,2.572,6.448,76.407,112.922,100.477,95.287,62.5,196.348,A0,A0,A4,A4,A0,False,False,True,True,False,False,False,False,False,True,4,1,5,3,2,0.75,0.0,1.0,0.5,,none
R_2dR5GtSm2X95LH1,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,2750,15.382,171.145,64.219,948.329,378.683,141.435,203.363,465.587,A0,A0,A5,A5,A5,False,False,True,True,True,False,True,False,False,False,3,2,1,4,5,0.5,,0.0,0.75,1.0,None
R_5zESAFWSW80UkLf,False,The Sixth Sense,Sleuth,Three Identical Strangers,Dream House,Dragonfly,Passengers,1238,9.981,20.9,165.408,204.248,130.879,152.266,207.948,247.416,A0,A5,A0,A0,A0,False,True,False,False,False,False,False,False,False,True,3,5,4,2,1,0.3333333333333333,1.0,0.6666666666666666,0.0,,no thank you. hope i could help. have a great day :)
R_1hyU5zunRsRxOqI,False,Titanic,Anna and the King,Legend No. 17,Always,Far and Away,Love Story,3056,8.772,61.858,159.087,515.557,373.649,736.491,661.492,447.272,A0,A4,A0,A0,A3,False,True,False,False,True,False,False,True,True,True,2,5,3,4,1,0.0,1.0,,,,"No, but it's all my own opinion. thanks."
R_3lDBxsP36DRlvrj,False,Jurassic Park,The Poseidon Adventure,The Towering Inferno,Jason and the Argonauts,"20,000 Leagues Under the Sea",The 7th Voyage of Sinbad,918,9.231,110.194,145.316,84.649,122.333,85.639,197.762,94.732,A0,A3,A0,A2,A0,False,True,False,True,False,False,True,False,False,False,5,2,1,4,3,1.0,,0.0,0.75,0.5,
R_3Pw7rJpPaaFJ8fK,False,Toy Story,Miniscule: Valley of the Lost Ants,Winnie the Pooh,The Brave Little Toaster,The Peanuts Movie,The Rescuers,714,9.907,31.42,166.877,71.557,61.323,60.131,65.322,186.139,A0,A3,A0,A5,A3,False,True,False,True,True,False,False,False,False,True,4,5,2,1,3,0.75,1.0,0.25,0.0,,none
